,Date,Open,High,Low,Close,Adj_Close,Volume
1502,2006-01-05,59.3,61.1,58.81,60.74,35.072,3013255
1503,2006-01-06,61.8,63.1,60.82,62.77,36.2442,2035155
1504,2006-01-09,63.0,65.15,62.02,63.92,36.9082,2035060
1505,2006-01-10,64.2,64.4,61.2,62.55,36.1172,1998300
1506,2006-01-12,62.8,63.6,58.53,62.66,36.1807,937425
1507,2006-01-13,63.2,64.58,62.9,63.64,36.7465,2309120
1508,2006-01-16,63.99,65.0,63.01,64.64,37.324,1812945
1509,2006-01-17,68.88,71.0,64.6,64.82,37.4279,1566355
1510,2006-01-18,64.62,65.0,62.2,64.14,37.0352,1319795
1511,2006-01-19,65.0,66.0,64.52,65.55,37.8494,690225
1512,2006-01-20,65.8,69.96,65.22,67.75,39.1197,1201500
1513,2006-01-23,67.9,74.98,66.02,73.45,42.411,3207325
1514,2006-01-24,69.0,73.88,66.81,67.31,38.8656,2447030
1515,2006-01-25,71.0,71.0,64.2,64.96,37.5087,2142220
1516,2006-01-27,65.78,67.84,65.38,66.65,38.4846,3883055
1517,2006-01-30,66.65,67.76,64.8,66.68,38.5019,1723365
1518,2006-01-31,66.9,67.8,66.01,67.41,38.9234,1218250
1519,2006-02-01,67.4,68.6,66.01,67.23,38.8195,1584040
1520,2006-02-02,68.0,69.0,66.12,67.74,39.1139,3089815
1521,2006-02-03,68.22,68.22,64.87,65.77,37.9764,1398940
1522,2006-02-06,66.0,67.18,65.2,66.92,38.6405,617915
1523,2006-02-07,67.2,72.4,67.0,69.69,40.2399,4386870
1524,2006-02-08,69.8,69.8,66.66,67.14,38.7675,3066370
1525,2006-02-10,67.24,68.9,67.0,68.57,39.5932,1673030
1526,2006-02-13,68.8,70.0,67.84,69.41,40.0782,1940520
1527,2006-02-14,69.94,72.14,69.43,71.74,41.4236,2295570
1528,2006-02-15,72.6,72.8,69.05,70.35,40.621,1645385
1529,2006-02-16,70.6,70.6,68.62,68.85,39.7549,861150
1530,2006-02-17,71.4,71.4,68.0,68.17,39.3622,1052045
1531,2006-02-20,68.4,68.4,66.07,66.55,38.4268,841530
1532,2006-02-21,68.68,68.88,66.21,66.9,38.6289,911735
1533,2006-02-22,67.4,67.75,66.0,66.14,38.1901,381935
1534,2006-02-23,67.0,67.2,63.1,63.58,36.7119,3406825
1535,2006-02-24,64.6,65.42,63.0,64.3,37.1276,3413370
1536,2006-02-27,64.8,66.76,64.4,66.34,38.3056,5140130
1537,2006-02-28,66.94,66.97,64.42,65.51,37.8263,1232795
1538,2006-03-01,65.5,68.0,65.01,67.68,39.0793,2298245
1539,2006-03-02,67.8,69.6,67.56,69.02,39.853,2477245
1540,2006-03-03,69.4,72.4,69.1,72.03,41.591,2468225
1541,2006-03-06,72.02,72.7,70.0,72.29,41.7412,847260
1542,2006-03-07,72.2,72.2,69.45,70.04,40.442,1162875
1543,2006-03-08,70.2,75.3,70.2,71.94,41.5391,3178220
1544,2006-03-09,69.21,73.08,69.21,70.77,40.8635,1838110
1545,2006-03-10,71.8,73.49,71.31,72.83,42.053,2784135
1546,2006-03-13,72.96,73.94,71.61,71.9,41.516,873250
1547,2006-03-14,71.8,85.1,68.92,76.11,43.9469,26958070
1548,2006-03-16,76.4,77.88,74.85,75.31,43.485,6619830
1549,2006-03-17,75.79,76.9,74.2,74.94,43.2713,2456215
1550,2006-03-20,75.6,75.99,73.62,73.87,42.6535,3108885
1551,2006-03-21,74.0,74.8,70.57,70.98,40.9848,2609725
1552,2006-03-22,71.97,72.2,70.21,70.82,40.8924,3404040
1553,2006-03-23,71.6,71.96,69.2,69.97,40.4016,1429630
1554,2006-03-24,70.4,73.6,69.62,71.49,41.2792,4210770
1555,2006-03-27,72.9,72.9,70.01,70.51,40.7134,3441835
1556,2006-03-28,71.0,71.98,68.3,68.68,39.6567,2918535
1557,2006-03-29,69.0,70.38,68.94,69.95,40.39,2323185
1558,2006-03-30,70.38,70.6,67.65,68.17,39.3622,2642930
1559,2006-03-31,68.78,71.7,68.4,71.21,41.1176,2416380
1560,2006-04-03,71.6,72.98,70.24,72.21,41.695,968255
1561,2006-04-04,73.0,74.4,72.01,73.53,42.4572,2598430
1562,2006-04-05,74.0,74.2,72.26,72.53,41.8797,1633325
1563,2006-04-07,72.6,73.58,69.22,70.03,40.4362,1414135
1564,2006-04-10,71.1,71.1,69.6,69.87,40.3438,904845
1565,2006-04-12,70.9,71.58,67.24,67.98,39.2525,2230410
1566,2006-04-13,68.76,68.76,63.1,63.8,36.8389,3920340
1567,2006-04-17,65.15,68.19,65.0,67.05,38.7155,5183530
1568,2006-04-18,68.0,71.0,67.75,70.45,40.6787,4368110
1569,2006-04-19,71.8,74.0,68.05,69.24,39.9801,3120200
1570,2006-04-20,69.82,71.5,69.28,69.77,40.2861,1328375
1571,2006-04-21,70.94,71.0,68.0,68.81,39.7318,1302135
1572,2006-04-24,69.28,69.6,67.95,68.35,39.4662,998470
1573,2006-04-25,67.76,69.92,67.76,69.42,40.084,1629705
1574,2006-04-26,70.0,71.97,69.69,71.41,41.233,1800330
1575,2006-04-27,72.0,72.16,68.02,69.61,40.1937,2351260
1576,2006-04-28,68.2,69.8,58.05,69.13,39.9165,990235
1577,2006-05-02,70.1,73.8,70.1,73.16,42.2435,2140320
1578,2006-05-03,74.4,74.8,72.02,74.12,42.7978,2010510
1579,2006-05-04,73.8,75.0,72.62,73.6,42.4976,2286025
1580,2006-05-05,73.2,74.35,71.0,72.47,41.8451,1126875
1581,2006-05-08,72.96,73.6,71.0,71.6,41.3428,1966290
1582,2006-05-09,71.7,74.0,71.02,73.41,42.3879,2743255
1583,2006-05-10,73.0,76.0,73.0,74.85,43.2193,4251365
1584,2006-05-11,75.15,75.58,73.42,74.53,43.0346,1162485
1585,2006-05-12,73.0,74.6,72.0,72.23,41.7065,911205
1586,2006-05-15,72.59,72.59,69.0,69.19,39.9512,646325
1587,2006-05-16,70.8,72.89,64.21,67.48,41.0398,1195880
1588,2006-05-17,68.8,69.98,67.82,68.8,41.8426,1701750
1589,2006-05-18,68.4,68.99,64.2,65.07,39.5741,1456090
1590,2006-05-19,69.0,69.2,62.8,64.75,39.3795,1428515
1591,2006-05-22,65.73,66.2,61.8,64.71,39.3552,1812900
1592,2006-05-23,64.71,64.71,60.6,63.06,38.3517,2779885
1593,2006-05-24,64.94,67.2,61.0,61.57,37.4455,3761440
1594,2006-05-25,61.05,62.18,56.6,59.29,36.0588,4526710
1595,2006-05-26,61.8,62.8,60.28,60.54,36.8191,3168310
1596,2006-05-29,61.2,62.6,60.7,61.8,37.5854,1051395
1597,2006-05-30,62.2,62.2,59.4,60.38,36.7218,561975
1598,2006-05-31,59.6,59.8,56.2,57.05,34.6965,1395250
1599,2006-06-01,59.65,59.65,56.0,56.98,34.654,1627900
1600,2006-06-02,57.2,62.6,56.0,61.77,37.5671,2534075
1601,2006-06-05,62.0,62.48,60.8,61.61,37.4698,2586530
1602,2006-06-06,59.8,60.65,58.22,59.23,36.0224,1015625
1603,2006-06-07,58.6,60.38,56.0,58.24,35.4203,2579725
1604,2006-06-08,56.1,56.96,49.7,51.09,31.0718,1292890
1605,2006-06-09,50.4,54.0,47.4,52.14,31.7104,3006135
1606,2006-06-12,53.6,53.6,48.0,51.35,31.2299,1322280
1607,2006-06-13,49.8,50.8,48.0,48.63,29.5757,994360
1608,2006-06-14,48.8,50.99,44.03,48.62,29.5696,2235490
1609,2006-06-15,49.8,51.8,48.0,49.99,30.4028,1780940
1610,2006-06-16,52.0,54.5,51.2,52.26,31.7834,1310395
1611,2006-06-19,52.6,54.0,49.5,53.54,32.5618,372155
1612,2006-06-20,52.02,52.8,51.1,52.21,31.7529,1301235
1613,2006-06-21,52.6,53.56,52.1,52.46,31.905,307620
1614,2006-06-22,54.59,58.4,53.4,56.56,34.3985,1745195
1615,2006-06-23,56.56,58.4,52.68,55.29,33.6261,2489075
1616,2006-06-26,58.0,58.0,52.0,54.79,33.322,16390640
1617,2006-06-27,56.0,56.0,54.03,54.8,33.3281,2450220
1618,2006-06-28,53.36,55.2,53.02,53.82,32.7321,1281975
1619,2006-06-29,54.58,54.6,50.06,50.88,30.9441,2037690
1620,2006-06-30,53.6,54.1,52.5,53.59,32.5922,987510
1621,2006-07-03,54.8,56.0,53.2,55.17,33.5532,1024400
1622,2006-07-04,55.8,57.2,55.8,56.18,34.1674,958695
1623,2006-07-05,56.18,57.52,54.4,57.25,34.8182,885560
1624,2006-07-06,56.01,57.88,56.01,56.18,34.1674,1063760
1625,2006-07-07,57.2,57.2,54.2,54.82,33.3403,652420
1626,2006-07-10,57.39,57.39,54.02,54.85,33.3585,234745
1627,2006-07-11,55.0,55.6,54.5,55.33,33.6505,293660
1628,2006-07-12,50.2,55.94,50.2,55.32,33.6444,326545
1629,2006-07-13,55.94,57.2,53.62,54.62,33.2187,2362350
1630,2006-07-14,55.0,56.36,53.22,54.82,33.3403,1078270
1631,2006-07-17,55.0,57.0,51.07,52.05,31.6556,707155
1632,2006-07-18,52.03,52.03,49.9,50.65,30.8042,2740290
1633,2006-07-19,51.98,53.4,50.25,50.79,30.8893,1044905
1634,2006-07-20,52.0,53.0,51.21,52.72,32.0631,678865
1635,2006-07-21,52.8,52.8,51.05,52.07,31.6678,370950
1636,2006-07-24,52.0,55.58,50.07,55.12,33.5227,1448680
1637,2006-07-25,56.89,59.8,55.82,59.49,36.1805,3241930
1638,2006-07-26,59.97,63.4,59.6,62.4,37.9503,5029420
