,Date,Open,High,Low,Close,Adj_Close,Volume,SlowD,SlowK,WILLR,MACD,MACD_Signal,MACD_Hist,RSI,ADX,CCI,Chaikin A/D,OBV
4273,2017-05-26,508.0,513.0,505.0,511.45,506.4738,5995136,67.6038,76.1334,-6.8131,-0.8650,-0.2078,-0.6572,52.7732,16.1205,192.4057,111669169.3435,1246715645.0000
4274,2017-05-29,511.9,515.0,502.2,507.25,502.3147,5441466,73.6244,79.0113,-31.3131,-0.2387,-0.2140,-0.0248,56.6425,15.5412,115.8545,110521353.9316,1241274179.0000
4275,2017-05-30,505.0,516.95,503.65,514.4,509.3952,4725430,78.4951,80.3406,-9.5505,-0.2958,-0.2303,-0.0654,48.7852,15.4476,134.7553,113434787.9186,1245999609.0000
4276,2017-05-31,514.0,516.0,509.5,514.05,509.0485,7263061,79.3271,78.6295,-10.8615,0.3808,-0.1081,0.4889,57.3580,15.3634,116.3140,116339985.5011,1238736548.0000
4277,2017-06-01,512.15,515.95,505.5,509.3,504.3448,8105813,77.7427,74.2580,-33.6265,0.7590,0.0653,0.6937,55.2459,14.0524,61.3156,114129283.8427,1230630735.0000
4278,2017-06-02,513.5,513.5,506.35,508.05,503.1069,4474040,70.3016,58.0174,-40.5468,1.1544,0.2831,0.8712,56.5433,12.8724,37.5102,111782738.6258,1226156695.0000
4279,2017-06-05,507.35,516.75,507.0,513.65,508.6525,3858825,62.2012,54.3281,-15.0341,0.9603,0.4186,0.5418,49.3077,12.7641,78.6335,113187765.7000,1230015520.0000
4280,2017-06-06,514.0,514.4,505.55,510.2,505.236,3866339,54.8515,52.2089,-30.7517,1.3279,0.6004,0.7275,56.0628,12.1510,26.5078,113384363.6513,1226149181.0000
4281,2017-06-07,510.0,515.45,508.1,514.2,509.1971,3389166,57.1012,64.7665,-13.0332,1.2816,0.7367,0.5450,51.4781,11.9333,86.6789,115620753.0413,1229538347.0000
4282,2017-06-08,514.0,521.8,511.35,515.75,510.732,5980728,59.2008,60.6269,-30.8673,1.5499,0.8993,0.6506,55.5198,13.4828,176.1476,114676429.3749,1235519075.0000
4283,2017-06-09,515.0,516.35,509.4,513.65,508.6525,3242063,62.9032,63.3164,-41.5815,1.8221,1.0839,0.7383,56.5257,14.0866,52.0546,115399517.6550,1232277012.0000
4284,2017-06-12,512.45,513.1,506.0,507.5,502.5623,2360518,55.1606,41.5386,-78.7878,1.8113,1.2294,0.5819,53.1219,13.3475,-110.7735,114036404.9984,1229916494.0000
4285,2017-06-13,509.0,512.3,505.5,506.45,501.5225,2181945,42.4711,22.5582,-94.1717,1.5069,1.2849,0.2220,48.7125,12.4985,-105.3933,112464129.8782,1227734549.0000
4286,2017-06-14,509.0,510.9,501.55,509.5,504.5428,4648343,27.7087,19.0292,-60.7407,1.2513,1.2781,-0.0269,48.7125,12.1406,-105.2449,115720462.5821,1232382892.0000
4287,2017-06-15,508.85,509.3,504.0,507.6,502.6613,3425367,23.4143,28.6554,-70.1234,1.0247,1.2275,-0.2027,48.4964,11.8185,-94.7284,116948442.6283,1228957525.0000
4288,2017-06-16,507.65,514.3,507.5,510.45,505.4836,4999502,32.5551,49.9807,-56.0493,0.7399,1.1299,-0.3901,46.6567,11.6001,2.7372,116286769.1345,1233957027.0000
4289,2017-06-19,511.0,525.35,509.3,520.15,515.0892,6844723,47.1936,62.9447,-21.8485,0.7755,1.0590,-0.2836,52.2725,14.0686,152.7023,118696319.8398,1240801750.0000
4290,2017-06-20,520.2,521.7,510.5,511.85,506.87,4388846,58.8899,63.7443,-56.7226,1.5285,1.1529,0.3755,63.8768,16.2903,60.4010,115365502.7836,1236412904.0000
4291,2017-06-21,511.05,512.5,506.75,507.75,502.8098,4346995,57.6734,46.3311,-73.9495,1.3711,1.1966,0.1745,50.3489,16.7910,-45.7183,112530506.0444,1232065909.0000
4292,2017-06-22,508.9,514.45,506.65,508.0,503.0574,3463745,44.2542,22.6870,-72.8991,1.0606,1.1694,-0.1088,47.7109,17.7119,-23.0454,110265752.2602,1235529654.0000
4293,2017-06-23,509.6,510.45,503.65,504.65,499.74,3548884,26.2718,9.7973,-86.9748,0.8611,1.1077,-0.2466,48.6836,17.3731,-90.7252,107760654.9090,1231980770.0000
4294,2017-06-27,506.0,506.7,484.45,492.85,488.0548,9842829,14.6479,11.4593,-79.4621,0.4078,0.9677,-0.5599,44.0059,18.7444,-236.9264,105349709.4635,1222137941.0000
4295,2017-06-28,493.8,500.35,490.05,492.0,487.2131,12691859,12.8995,17.4417,-81.5404,-0.9252,0.5892,-1.5143,32.3148,19.9787,-162.9390,97463526.9880,1209446082.0000
4296,2017-06-29,498.0,514.4,497.7,512.1,507.1175,11855524,25.1763,46.6278,-32.3961,-1.6240,0.1465,-1.7705,38.5587,18.3339,10.1117,106053391.7459,1221301606.0000
4297,2017-06-30,510.6,520.0,508.1,517.35,512.3164,7600005,44.6764,69.9596,-19.5599,-1.1478,-0.1123,-1.0355,53.0084,17.8637,80.9986,110268488.2073,1228901611.0000
4298,2017-07-03,517.1,521.8,515.0,517.25,512.2174,3701949,69.1436,90.8434,-19.8044,-0.2431,-0.1385,-0.1047,58.5905,17.7519,95.9065,109016362.7217,1225199662.0000
4299,2017-07-04,516.8,517.55,506.55,508.4,503.4535,4086213,80.0631,79.3863,-35.8768,0.4445,-0.0219,0.4664,58.2357,16.1498,31.8823,106304607.6430,1221113449.0000
4300,2017-07-05,507.75,515.4,507.75,513.9,508.9,3154406,80.3914,70.9444,-21.1512,0.2562,0.0337,0.2225,48.4107,14.7080,53.2083,108221995.5631,1224267855.0000
4301,2017-07-06,511.0,512.85,508.15,509.5,509.5,3514758,66.1502,48.1199,-32.9317,0.3650,0.1000,0.2650,51.6646,13.4104,25.8936,106726370.5676,1220753097.0000
